month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2024-01,Olens,9,2.78,0,
2024-02,Olens,4,1.5,2,1.0
2024-03,Olens,4,2.0,1,1.0
2024-04,Olens,2,3.0,1,1.0
2024-05,Olens,4,3.5,1,1.0
2024-06,Olens,1,2.0,1,1.0
2024-07,Olens,2,3.5,5,1.0
2024-08,Olens,3,3.33,6,0.833
2024-09,Olens,6,4.0,4,0.25
2024-10,Olens,6,4.83,8,1.0
2024-11,Olens,0,,4,1.0
2024-12,Olens,4,4.75,1,1.0
2025-01,Olens,3,5.0,8,0.625
2025-02,Olens,2,4.5,5,0.2
2025-03,Olens,5,4.6,3,0.667
2025-04,Olens,3,3.67,4,0.5
2025-05,Olens,2,3.0,6,0.0
2025-06,Olens,2,3.5,5,0.0
2025-07,Olens,5,4.0,10,0.5
2025-08,Olens,1,5.0,7,0.714
2025-09,Olens,0,,6,0.333
2025-10,Olens,0,,6,0.0
